CompanyCode,Region,Location,ItemGrp,ItemCategory,ItemSubCategory,C-Qtr,P-Qtr,Variance,Indicator,C-Qtr Quantity,P-Qtr Quantity,Variance,Indicator
BFPL,EAST,DCB,[JAM],JAM 200,STRAWBERRY JAM 48 X 200GM,0.00,0.01,-0.92,?,0,0,-0.91,?
BFPL,EAST,DCB,[JAM],JAM 500,APPRICOT JAM 12X500GM,0.02,0.05,-0.62,?,0,0,-0.62,?
BFPL,EAST,DCB,[JAM],JAM 500,GUAVA JELLY (12X500)GM,0.04,0.11,-0.62,?,0,0,-0.62,?
BFPL,EAST,DCB,[JAM],JAM 500,MANGO JAM (12X500)GM,0.03,0.08,-0.66,?,0,0,-0.66,?
BFPL,EAST,DCB,[JAM],JAM 500,MIX FRUIT JAM (12X500)GM,0.16,0.40,-0.59,?,0,0,-0.60,?
BFPL,EAST,DCB,[JAM],JAM 500,ORANGE MARMALADE (12X500)GM,0.12,0.18,-0.32,?,0,0,-0.27,?
BFPL,EAST,DCB,[JAM],JAM 500,PINEAPPLE JAM (12X500)GM,0.02,0.10,-0.79,?,0,0,-0.79,?
BFPL,EAST,DCB,[JAM],JAM 500,STRAWBERRY JAM (12X500)GM,0.04,0.07,-0.39,?,0,0,-0.39,?
BFPL,EAST,DCB,[JUICES],JUCS800,PINEAPPLE JUICE (24X800ML),0.06,0.34,-0.82,?,0,1,-0.90,?
BFPL,EAST,DCB,[PUREE],PUREE,TOMATO PUREE (24X850)GM,0.29,0.45,-0.35,?,0,1,-0.35,?
BFPL,EAST,DCB,[PUREE],PUREE,TOMATO PUREE (48X250)GM,0.01,0.02,-0.73,?,0,0,-0.72,?
BFPL,EAST,DCB,[SAUCE],SAUC 1KG,TOMATO KETCHUP (STANDY) (12 X 1000KG),0.12,0.31,-0.63,?,0,0,-0.60,?
BFPL,EAST,DCB,[SAUCE],SAUC 200,TOMATO CH SAUCE (24X200)GM,0.00,0.00,-,?,0,0,-,?
BFPL,EAST,DCB,[SAUCE],SAUC 200,TOMATO KETCH UP (24X200)GM,0.00,0.00,-1.00,?,0,0,-1.00,?
BFPL,EAST,DCB,[SQ & MANGO PANNA],SQ & MA,LEMON BARLEY WATER (12X700)ML,0.03,0.17,-0.82,?,0,0,-0.82,?
BFPL,EAST,DCB,[SQ & MANGO PANNA],SQ & MA,LEMON SQUASH (12X700)ML,0.11,0.09,0.21,?,0,0,0.19,?
BFPL,EAST,DCB,[SQ & MANGO PANNA],SQ & MA,LIME JUICE CORDIAL-P 12X700 ML,0.12,0.27,-0.55,?,0,0,-0.55,?
BFPL,EAST,DCB,[SQ & MANGO PANNA],SQ & MA,MANGO PANNA (12X500)ML,0.32,0.22,0.44,?,0,0,0.42,?
BFPL,EAST,DCB,[SQ & MANGO PANNA],SQ & MA,MANGO SQUASH (12X700)ML,0.01,0.03,-0.51,?,0,0,-0.54,?
BFPL,EAST,DCB,[SQ & MANGO PANNA],SQ & MA,ORANGE SQUASH (12X700)ML,0.11,0.21,-0.46,?,0,0,-0.47,?
BFPL,EAST,DCB,[SQ & MANGO PANNA],SQ & MA,PINEAPPLE SQUASH (12X700)ML,0.04,0.07,-0.42,?,0,0,-0.43,?
BFPL,EAST,DCB,[VINEGAR],VINEGAR,VINEGAR WHITE  12X700 ML,0.04,0.05,-0.20,?,0,0,-0.18,?
